
::> [0   	:  run/Start]
::> [19   	:  depth >> nextExpansionSize]
::> [2774   	:  31	 --> CleanOffice(o6)]
::> [2774   	:  32	 --> Move(o6,o9)]
::> [2774   	:  33	 --> Push(E,o9,o6)]
::> [2774   	:  34	 --> Push(E,o6,o5)]
::> [2774   	:  35	 --> Move(o5,o2)]
::> [2774   	:  36	 --> Move(o2,o3)]
::> [2774   	:  37	 --> Push(C,o3,o6)]
::> [2774   	:  38	 --> Move(o6,o9)]
::> [2774   	:  39	 --> CleanOffice(o9)]
::> [2774   	:  40	 --> Move(o9,o8)]
::> [2774   	:  41	 --> Push(B,o8,o9)]
::> [2774   	:  42	 --> Move(o9,o8)]
::> [2774   	:  43	 --> Move(o8,o7)]
::> [2775   	:  44	 --> Push(A,o7,o8)]
::> [2775   	:  45	 --> Move(o8,o7)]
::> [2775   	:  46	 --> CleanOffice(o7)]
::> [2775   	:  47	 --> Move(o7,o8)]
::> [2775   	:  48	 --> Move(o8,o5)]
::> [2775   	:  49	 --> Move(o5,o2)]
::> [2775   	:  50	 --> Push(F,o2,o3)]
::> [2775   	:  51	 --> Move(o3,o2)]
::> [2775   	:  52	 --> Move(o2,o1)]
::> [2775   	:  53	 --> Push(G,o1,o2)]
::> [2775   	:  54	 --> Move(o2,o1)]
::> [2775   	:  55	 --> CleanOffice(o1)]
::> [2776   	:  56	 --> Move(o1,o2)]
::> [2776   	:  57	 --> Push(G,o2,o1)]
::> [2776   	:  58	 --> Move(o1,o2)]
::> [2776   	:  59	 --> Move(o2,o5)]
::> [2776   	:  60	 --> Move(o5,o8)]
::> [2776   	:  61	 --> Push(A,o8,o7)]
::> [2776   	:  62	 --> Move(o7,o8)]
::> [2776   	:  63	 --> Move(o8,o9)]
::> [2776   	:  64	 --> Push(B,o9,o8)]
::> [2776   	:  65	 --> Move(o8,o5)]
::> [2776   	:  66	 --> Move(o5,o6)]
::> [2776   	:  67	 --> Push(C,o6,o9)]
::> [2776   	:  68	 --> Move(o9,o6)]
::> [2776   	:  69	 --> Move(o6,o3)]
::> [2776   	:  70	 --> Push(F,o3,o6)]
::> [2776   	:  71	 --> Move(o6,o3)]
::> [2776   	:  72	 --> CleanOffice(o3)]
::> [2777   	:  best match: 0 differences]
::> [2777   	:  skipped:    60521 repeated1 states]
::> [2777   	:  skipped:    27809 looping states]
::> [2777   	:  total:      27176 states]
::> [2777   	:  report/Finish]
