
::> [0   	:  run/Start]
::> [18   	:  depth >> nextExpansionSize]
::> [1614   	:  50	 --> Move(o6,o9)]
::> [1615   	:  51	 --> CleanOffice(o9)]
::> [1615   	:  52	 --> Move(o9,o6)]
::> [1615   	:  53	 --> Push(E,o6,o5)]
::> [1615   	:  54	 --> Move(o5,o6)]
::> [1615   	:  best match: 0 differences]
::> [1615   	:  skipped:    24121 repeated1 states]
::> [1615   	:  skipped:    15366 looping states]
::> [1615   	:  total:      14896 states]
::> [1615   	:  report/Finish]
