
::> [0   	:  run/Start]
::> [28   	:  depth >> nextExpansionSize]
::> [712   	:  60	 >> 140]
::> [721   	:  61	 >> 150]
::> [755   	:  62	 >> 76]
::> [763   	:  63	 >> 32]
::> [765   	:  64	 >> 0]
::> [773   	:  65	 >> 58]
::> [776   	:  66	 >> 43]
::> [778   	:  67	 >> 19]
::> [780   	:  68	 >> 9]
::> [781   	:  69	 >> 0]
::> [783   	:  70	 >> 15]
::> [783   	:  71	 >> 5]
::> [783   	:  72	 >> 2]
::> [783   	:  73	 >> 1]
::> [783   	:  74	 >> 0]
::> [783   	:  75	 >> 2]
::> [784   	:  76	 >> 5]
::> [784   	:  77	 >> 4]
::> [785   	:  78	 >> 1]
::> [785   	:  79	 >> 0]
::> [791   	:  80	 >> 39]
::> [795   	:  81	 >> 35]
::> [797   	:  82	 >> 14]
::> [799   	:  83	 >> 8]
::> [800   	:  84	 >> 6]
::> [801   	:  85	 >> 10]
::> [801   	:  86	 >> 0]
::> [804   	:  87	 >> 15]
::> [805   	:  88	 >> 19]
::> [807   	:  89	 >> 15]
::> [808   	:  90	 >> 14]
::> [809   	:  91	 >> 14]
::> [811   	:  92	 >> 10]
::> [811   	:  93	 >> 1]
::> [811   	:  94	 >> 0]
::> [814   	:  95	 >> 9]
::> [815   	:  96	 >> 10]
::> [816   	:  97	 >> 8]
::> [817   	:  98	 >> 6]
::> [817   	:  99	 >> 3]
::> [818   	:  100	 >> 3]
::> [818   	:  101	 >> 0]
::> [819   	:  102	 >> 3]
::> [819   	:  103	 >> 2]
::> [819   	:  104	 >> 5]
::> [820   	:  105	 >> 4]
::> [820   	:  106	 >> 1]
::> [820   	:  107	 >> 0]
::> [821   	:  108	 >> 10]
::> [821   	:  109	 >> 8]
::> [822   	:  110	 >> 5]
::> [822   	:  111	 >> 3]
::> [822   	:  112	 >> 5]
::> [822   	:  113	 >> 0]
::> [823   	:  114	 >> 7]
::> [823   	:  115	 >> 7]
::> [824   	:  116	 >> 5]
::> [824   	:  117	 >> 3]
::> [824   	:  118	 >> 3]
::> [824   	:  119	 >> 3]
::> [824   	:  120	 >> 0]
::> [825   	:  121	 >> 0]
::> [826   	:  122	 >> 7]
::> [826   	:  123	 >> 10]
::> [827   	:  124	 >> 10]
::> [828   	:  125	 >> 5]
::> [828   	:  126	 >> 3]
::> [828   	:  127	 >> 5]
::> [828   	:  128	 >> 0]
::> [829   	:  129	 >> 7]
::> [830   	:  130	 >> 12]
::> [830   	:  131	 >> 7]
::> [831   	:  132	 >> 7]
::> [831   	:  133	 >> 5]
::> [832   	:  134	 >> 3]
::> [832   	:  135	 >> 0]
::> [832   	:  136	 >> 2]
::> [832   	:  137	 >> 3]
::> [832   	:  138	 >> 4]
::> [833   	:  139	 >> 4]
::> [833   	:  140	 >> 3]
::> [833   	:  141	 >> 3]
::> [833   	:  142	 >> 0]
::> [834   	:  143	 >> 0]
::> [834   	:  144	 >> 5]
::> [834   	:  145	 >> 6]
::> [835   	:  146	 >> 8]
::> [835   	:  147	 >> 5]
::> [836   	:  148	 >> 4]
::> [836   	:  149	 >> 1]
::> [837   	:  150	 >> 5]
::> [838   	:  151	 >> 9]
::> [839   	:  152	 >> 9]
::> [840   	:  153	 >> 6]
::> [840   	:  154	 >> 2]
::> [841   	:  155	 >> 0]
::> [842   	:  156	 >> 7]
::> [843   	:  157	 >> 7]
::> [843   	:  158	 >> 5]
::> [844   	:  159	 >> 4]
::> [844   	:  160	 >> 3]
::> [845   	:  161	 >> 5]
::> [845   	:  162	 >> 0]
::> [846   	:  163	 >> 7]
::> [846   	:  164	 >> 7]
::> [847   	:  165	 >> 5]
::> [848   	:  166	 >> 3]
::> [848   	:  167	 >> 3]
::> [848   	:  168	 >> 3]
::> [848   	:  169	 >> 0]
::> [849   	:  170	 >> 0]
::> [849   	:  171	 >> 7]
::> [850   	:  172	 >> 9]
::> [850   	:  173	 >> 10]
::> [851   	:  174	 >> 4]
::> [851   	:  175	 >> 3]
::> [851   	:  176	 >> 4]
::> [852   	:  177	 >> 1]
::> [854   	:  178	 >> 4]
::> [855   	:  179	 >> 6]
::> [856   	:  180	 >> 6]
::> [856   	:  181	 >> 3]
::> [856   	:  182	 >> 0]
::> [857   	:  183	 >> 0]
::> [857   	:  184	 >> 4]
::> [857   	:  185	 >> 3]
::> [858   	:  186	 >> 3]
::> [858   	:  187	 >> 1]
::> [858   	:  188	 >> 0]
::> [858   	:  189	 >> 1]
::> [858   	:  190	 >> 3]
::> [859   	:  191	 >> 3]
::> [859   	:  192	 >> 3]
::> [859   	:  193	 >> 0]
::> [860   	:  194	 >> 0]
::> [860   	:  195	 >> 2]
::> [866   	:  196	 >> 59]
::> [873   	:  197	 >> 65]
::> [881   	:  198	 >> 67]
::> [887   	:  199	 >> 75]
::> [896   	:  200	 >> 78]
::> [902   	:  201	 >> 54]
::> [906   	:  202	 >> 59]
::> [942   	:  203	 >> 61]
::> [950   	:  204	 >> 62]
::> [955   	:  205	 >> 35]
::> [959   	:  206	 >> 34]
::> [962   	:  207	 >> 33]
::> [966   	:  208	 >> 27]
::> [968   	:  209	 >> 16]
::> [970   	:  210	 >> 16]
::> [971   	:  211	 >> 11]
::> [973   	:  212	 >> 11]
::> [973   	:  213	 >> 4]
::> [990   	:  214	 >> 71]
::> [999   	:  215	 >> 101]
::> [1006   	:  216	 >> 91]
::> [1014   	:  217	 >> 69]
::> [1020   	:  218	 >> 37]
::> [1023   	:  219	 >> 25]
::> [1024   	:  220	 >> 8]
::> [1025   	:  221	 >> 4]
::> [1025   	:  222	 >> 1]
::> [1034   	:  223	 >> 26]
::> [1037   	:  224	 >> 27]
::> [1040   	:  225	 >> 25]
::> [1042   	:  226	 >> 14]
::> [1042   	:  227	 >> 6]
::> [1044   	:  228	 >> 9]
::> [1045   	:  229	 >> 8]
::> [1045   	:  230	 >> 3]
::> [1046   	:  231	 >> 8]
::> [1046   	:  232	 >> 8]
::> [1047   	:  233	 >> 7]
::> [1048   	:  234	 >> 5]
::> [1048   	:  235	 >> 0]
::> [1048   	:  236	 >> 0]
::> [1049   	:  237	 >> 5]
::> [1049   	:  238	 >> 4]
::> [1050   	:  239	 >> 1]
::> [1050   	:  240	 >> 0]
::> [1050   	:  241	 >> 3]
::> [1050   	:  242	 >> 3]
::> [1051   	:  243	 >> 3]
::> [1051   	:  244	 >> 0]
::> [1051   	:  245	 >> 0]
::> [1051   	:  246	 >> 2]
::> [1052   	:  247	 >> 3]
::> [1052   	:  248	 >> 4]
::> [1052   	:  249	 >> 1]
::> [1052   	:  250	 >> 0]
::> [1052   	:  251	 >> 0]
::> [1053   	:  252	 >> 15]
::> [1055   	:  253	 >> 16]
::> [1057   	:  254	 >> 20]
::> [1058   	:  255	 >> 13]
::> [1059   	:  256	 >> 14]
::> [1060   	:  257	 >> 8]
::> [1060   	:  258	 >> 1]
::> [1061   	:  259	 >> 0]
::> [1065   	:  260	 >> 65]
::> [1071   	:  261	 >> 70]
::> [1078   	:  262	 >> 61]
::> [1081   	:  263	 >> 43]
::> [1084   	:  264	 >> 47]
::> [1087   	:  265	 >> 45]
::> [1089   	:  266	 >> 38]
::> [1091   	:  267	 >> 32]
::> [1094   	:  268	 >> 31]
::> [1097   	:  269	 >> 22]
::> [1099   	:  270	 >> 13]
::> [1100   	:  271	 >> 7]
::> [1100   	:  272	 >> 4]
::> [1101   	:  273	 >> 4]
::> [1101   	:  274	 >> 2]
::> [1112   	:  275	 >> 31]
::> [1116   	:  276	 >> 45]
::> [1119   	:  277	 >> 38]
::> [1121   	:  278	 >> 17]
::> [1122   	:  279	 >> 0]
::> [1123   	:  280	 >> 1]
::> [1123   	:  281	 >> 3]
::> [1123   	:  282	 >> 3]
::> [1123   	:  283	 >> 3]
::> [1123   	:  284	 >> 0]
::> [1123   	:  285	 >> 0]
::> [1124   	:  286	 >> 2]
::> [1124   	:  287	 >> 3]
::> [1124   	:  288	 >> 4]
::> [1124   	:  289	 >> 4]
::> [1124   	:  290	 >> 3]
::> [1125   	:  291	 >> 3]
::> [1125   	:  292	 >> 2]
::> [1125   	:  293	 >> 3]
::> [1125   	:  294	 >> 4]
::> [1125   	:  295	 >> 1]
::> [1125   	:  296	 >> 0]
::> [1125   	:  297	 >> 0]
::> [1128   	:  298	 >> 34]
::> [1129   	:  299	 >> 30]
::> [1131   	:  300	 >> 38]
::> [1135   	:  301	 >> 44]
::> [1139   	:  302	 >> 40]
::> [1143   	:  303	 >> 45]
::> [1146   	:  304	 >> 25]
::> [1148   	:  305	 >> 23]
::> [1150   	:  306	 >> 11]
::> [1151   	:  307	 >> 11]
::> [1152   	:  308	 >> 12]
::> [1153   	:  309	 >> 13]
::> [1154   	:  310	 >> 1]
::> [1154   	:  311	 >> 0]
::> [1159   	:  312	 >> 19]
::> [1161   	:  313	 >> 26]
::> [1164   	:  314	 >> 23]
::> [1166   	:  315	 >> 26]
::> [1168   	:  316	 >> 13]
::> [1169   	:  317	 >> 8]
::> [1169   	:  318	 >> 0]
::> [1171   	:  319	 >> 5]
::> [1171   	:  320	 >> 3]
::> [1172   	:  321	 >> 3]
::> [1172   	:  322	 >> 0]
::> [1172   	:  323	 >> 6]
::> [1173   	:  324	 >> 6]
::> [1174   	:  325	 >> 6]
::> [1174   	:  326	 >> 0]
::> [1174   	:  327	 >> 0]
::> [1174   	:  328	 >> 4]
::> [1175   	:  329	 >> 8]
::> [1176   	:  330	 >> 8]
::> [1177   	:  331	 >> 8]
::> [1177   	:  332	 >> 6]
::> [1178   	:  333	 >> 8]
::> [1179   	:  334	 >> 6]
::> [1179   	:  335	 >> 7]
::> [1180   	:  336	 >> 6]
::> [1180   	:  337	 >> 1]
::> [1180   	:  338	 >> 0]
::> [1180   	:  339	 >> 0]
::> [1186   	:  340	 >> 54]
::> [1191   	:  341	 >> 49]
::> [1197   	:  342	 >> 47]
::> [1199   	:  343	 >> 26]
::> [1202   	:  344	 >> 28]
::> [1204   	:  345	 >> 23]
::> [1206   	:  346	 >> 14]
::> [1207   	:  347	 >> 11]
::> [1208   	:  348	 >> 11]
::> [1209   	:  349	 >> 7]
::> [1210   	:  350	 >> 7]
::> [1210   	:  351	 >> 6]
::> [1210   	:  352	 >> 1]
::> [1210   	:  353	 >> 0]
::> [1216   	:  354	 >> 21]
::> [1218   	:  355	 >> 25]
::> [1221   	:  356	 >> 27]
::> [1223   	:  357	 >> 20]
::> [1225   	:  358	 >> 13]
::> [1226   	:  359	 >> 3]
::> [1226   	:  360	 >> 0]
::> [1228   	:  361	 >> 8]
::> [1229   	:  362	 >> 6]
::> [1229   	:  363	 >> 6]
::> [1230   	:  364	 >> 0]
::> [1230   	:  365	 >> 4]
::> [1231   	:  366	 >> 2]
::> [1231   	:  367	 >> 1]
::> [1231   	:  368	 >> 0]
::> [1231   	:  369	 >> 0]
::> [1231   	:  370	 >> 4]
::> [1236   	:  371	 >> 35]
::> [1242   	:  372	 >> 38]
::> [1249   	:  373	 >> 35]
::> [1288   	:  374	 >> 32]
::> [1291   	:  375	 >> 37]
::> [1292   	:  376	 >> 24]
::> [1293   	:  377	 >> 9]
::> [1294   	:  378	 >> 4]
::> [1296   	:  379	 >> 10]
::> [1296   	:  380	 >> 16]
::> [1297   	:  381	 >> 14]
::> [1299   	:  382	 >> 12]
::> [1299   	:  383	 >> 9]
::> [1299   	:  384	 >> 3]
::> [1299   	:  385	 >> 0]
::> [1300   	:  386	 >> 0]
::> [1301   	:  387	 >> 16]
::> [1302   	:  388	 >> 21]
::> [1304   	:  389	 >> 22]
::> [1305   	:  390	 >> 13]
::> [1306   	:  391	 >> 12]
::> [1306   	:  392	 >> 5]
::> [1306   	:  393	 >> 4]
::> [1306   	:  394	 >> 4]
::> [1307   	:  395	 >> 1]
::> [1307   	:  396	 >> 3]
::> [1307   	:  397	 >> 3]
::> [1307   	:  398	 >> 3]
::> [1307   	:  399	 >> 0]
::> [1308   	:  400	 >> 3]
::> [1308   	:  401	 >> 6]
::> [1309   	:  402	 >> 6]
::> [1309   	:  403	 >> 6]
::> [1310   	:  404	 >> 4]
::> [1310   	:  405	 >> 3]
::> [1310   	:  406	 >> 3]
::> [1310   	:  407	 >> 3]
::> [1310   	:  408	 >> 2]
::> [1311   	:  409	 >> 0]
::> [1311   	:  410	 >> 3]
::> [1311   	:  411	 >> 4]
::> [1312   	:  412	 >> 4]
::> [1312   	:  413	 >> 3]
::> [1313   	:  414	 >> 5]
::> [1313   	:  415	 >> 0]
::> [1313   	:  416	 >> 3]
::> [1314   	:  417	 >> 3]
::> [1314   	:  418	 >> 3]
::> [1314   	:  419	 >> 0]
::> [1314   	:  420	 >> 0]
::> [1314   	:  421	 >> 2]
::> [1315   	:  422	 >> 3]
::> [1315   	:  423	 >> 4]
::> [1315   	:  424	 >> 4]
::> [1316   	:  425	 >> 3]
::> [1316   	:  426	 >> 5]
::> [1316   	:  427	 >> 0]
::> [1317   	:  428	 >> 0]
::> [1320   	:  429	 >> 33]
::> [1322   	:  430	 >> 35]
::> [1324   	:  431	 >> 23]
::> [1325   	:  432	 >> 27]
::> [1327   	:  433	 >> 29]
::> [1329   	:  434	 >> 22]
::> [1330   	:  435	 >> 8]
::> [1330   	:  436	 >> 7]
::> [1330   	:  437	 >> 7]
::> [1331   	:  438	 >> 6]
::> [1331   	:  439	 >> 2]
::> [1331   	:  440	 >> 3]
::> [1331   	:  441	 >> 0]
::> [1333   	:  442	 >> 8]
::> [1334   	:  443	 >> 16]
::> [1335   	:  444	 >> 14]
::> [1336   	:  445	 >> 10]
::> [1336   	:  446	 >> 0]
::> [1336   	:  447	 >> 0]
::> [1337   	:  448	 >> 8]
::> [1337   	:  449	 >> 3]
::> [1337   	:  450	 >> 4]
::> [1337   	:  451	 >> 4]
::> [1338   	:  452	 >> 3]
::> [1338   	:  453	 >> 5]
::> [1338   	:  454	 >> 4]
::> [1338   	:  455	 >> 4]
::> [1339   	:  456	 >> 1]
::> [1339   	:  457	 >> 3]
::> [1339   	:  458	 >> 3]
::> [1339   	:  459	 >> 3]
::> [1339   	:  460	 >> 0]
::> [1339   	:  461	 >> 1]
::> [1340   	:  462	 >> 3]
::> [1340   	:  463	 >> 3]
::> [1340   	:  464	 >> 3]
::> [1340   	:  465	 >> 0]
::> [1340   	:  466	 >> 0]
::> [1340   	:  467	 >> 2]
::> [1379   	:  468	 >> 609]
::> [1412   	:  469	 >> 656]
::> [1449   	:  470	 >> 609]
::> [1474   	:  471	 >> 566]
::> [1529   	:  472	 >> 594]
::> [1563   	:  473	 >> 622]
::> [1590   	:  474	 >> 528]
::> [1614   	:  475	 >> 443]
::> [1644   	:  476	 >> 377]
::> [1660   	:  477	 >> 353]
::> [1678   	:  478	 >> 336]
::> [1694   	:  479	 >> 265]
::> [1707   	:  480	 >> 249]
::> [1723   	:  481	 >> 194]
::> [1737   	:  482	 >> 163]
::> [1745   	:  483	 >> 115]
::> [1754   	:  484	 >> 132]
::> [1763   	:  485	 >> 119]
::> [1771   	:  486	 >> 121]
::> [1780   	:  487	 >> 89]
::> [1787   	:  488	 >> 86]
::> [1795   	:  489	 >> 87]
::> [1806   	:  490	 >> 91]
::> [1815   	:  491	 >> 65]
::> [1820   	:  492	 >> 69]
::> [1826   	:  493	 >> 67]
::> [1833   	:  494	 >> 57]
::> [1837   	:  495	 >> 34]
::> [1840   	:  496	 >> 41]
::> [1845   	:  497	 >> 46]
::> [1848   	:  498	 >> 43]
::> [1851   	:  499	 >> 34]
::> [1855   	:  500	 >> 37]
::> [1857   	:  501	 >> 30]
::> [1861   	:  502	 >> 33]
::> [1863   	:  503	 >> 18]
::> [1865   	:  504	 >> 31]
::> [1867   	:  505	 >> 26]
::> [1871   	:  506	 >> 31]
::> [1873   	:  507	 >> 26]
::> [1875   	:  508	 >> 28]
::> [1877   	:  509	 >> 20]
::> [1879   	:  510	 >> 30]
::> [1882   	:  511	 >> 27]
::> [1885   	:  512	 >> 33]
::> [1888   	:  513	 >> 30]
::> [1891   	:  514	 >> 35]
::> [1893   	:  515	 >> 25]
::> [1896   	:  516	 >> 29]
::> [1898   	:  517	 >> 24]
::> [1901   	:  518	 >> 32]
::> [1903   	:  519	 >> 28]
::> [1906   	:  520	 >> 30]
::> [1908   	:  521	 >> 18]
::> [1911   	:  522	 >> 26]
::> [1913   	:  523	 >> 24]
::> [1916   	:  524	 >> 28]
::> [1918   	:  525	 >> 20]
::> [1920   	:  526	 >> 24]
::> [1922   	:  527	 >> 19]
::> [1923   	:  528	 >> 21]
::> [1925   	:  529	 >> 14]
::> [1926   	:  530	 >> 16]
::> [1927   	:  531	 >> 4]
::> [1927   	:  532	 >> 4]
::> [1928   	:  533	 >> 2]
::> [2133   	:  534	 >> 848]
::> [2196   	:  535	 >> 1062]
::> [2263   	:  536	 >> 930]
::> [2322   	:  537	 >> 777]
::> [2365   	:  538	 >> 488]
::> [2391   	:  539	 >> 301]
::> [2401   	:  540	 >> 152]
::> [2409   	:  541	 >> 138]
::> [2416   	:  542	 >> 99]
::> [2419   	:  543	 >> 32]
::> [2420   	:  544	 >> 26]
::> [2422   	:  545	 >> 23]
::> [2423   	:  546	 >> 12]
::> [2423   	:  547	 >> 11]
::> [2424   	:  548	 >> 9]
::> [2424   	:  549	 >> 7]
::> [2425   	:  550	 >> 7]
::> [2425   	:  551	 >> 5]
::> [2425   	:  552	 >> 3]
::> [2425   	:  553	 >> 3]
::> [2425   	:  554	 >> 3]
::> [2425   	:  555	 >> 0]
::> [2544   	:  556	 >> 621]
::> [2577   	:  557	 >> 673]
::> [2623   	:  558	 >> 566]
::> [2652   	:  559	 >> 330]
::> [2671   	:  560	 >> 151]
::> [2678   	:  561	 >> 63]
::> [2679   	:  562	 >> 18]
::> [2680   	:  563	 >> 18]
::> [2682   	:  564	 >> 18]
::> [2682   	:  565	 >> 0]
::> [2721   	:  566	 >> 191]
::> [2732   	:  567	 >> 185]
::> [2744   	:  568	 >> 148]
::> [2752   	:  569	 >> 66]
::> [2753   	:  570	 >> 8]
::> [2753   	:  571	 >> 1]
::> [2765   	:  572	 >> 93]
::> [2771   	:  573	 >> 95]
::> [2778   	:  574	 >> 95]
::> [2782   	:  575	 >> 23]
::> [2782   	:  576	 >> 2]
::> [2788   	:  577	 >> 8]
::> [2789   	:  578	 >> 6]
::> [2789   	:  579	 >> 1]
::> [2790   	:  580	 >> 1]
::> [2790   	:  run/Finish]
::> [2791   	:  report/Start]
::> [2791   	:  1	 --> Move(o9,o8)]
::> [2791   	:  2	 --> Push(G,o8,o9)]
::> [2791   	:  3	 --> Move(o9,o6)]
::> [2791   	:  4	 --> Move(o6,o5)]
::> [2792   	:  5	 --> Push(D,o5,o8)]
::> [2792   	:  6	 --> Move(o8,o5)]
::> [2792   	:  7	 --> Move(o5,o2)]
::> [2792   	:  8	 --> Push(B,o2,o5)]
::> [2792   	:  9	 --> Move(o5,o2)]
::> [2792   	:  10	 --> Move(o2,o1)]
::> [2792   	:  11	 --> Push(A,o1,o2)]
::> [2792   	:  12	 --> Move(o2,o1)]
::> [2792   	:  13	 --> Move(o1,o4)]
::> [2792   	:  14	 --> Push(C,o4,o1)]
::> [2792   	:  15	 --> Move(o1,o4)]
::> [2792   	:  16	 --> Move(o4,o7)]
::> [2793   	:  17	 --> Push(F,o7,o4)]
::> [2793   	:  18	 --> Move(o4,o5)]
::> [2793   	:  19	 --> Move(o5,o8)]
::> [2793   	:  20	 --> Push(D,o8,o7)]
::> [2793   	:  21	 --> Move(o7,o4)]
::> [2793   	:  22	 --> Move(o4,o5)]
::> [2793   	:  23	 --> Push(B,o5,o8)]
::> [2793   	:  24	 --> Move(o8,o5)]
::> [2793   	:  25	 --> Move(o5,o4)]
::> [2793   	:  26	 --> Push(F,o4,o5)]
::> [2793   	:  27	 --> Move(o5,o2)]
::> [2793   	:  28	 --> Move(o2,o1)]
::> [2793   	:  29	 --> Push(C,o1,o4)]
::> [2793   	:  30	 --> Move(o4,o1)]
::> [2793   	:  31	 --> Move(o1,o2)]
::> [2794   	:  32	 --> Push(A,o2,o1)]
::> [2794   	:  33	 --> Move(o1,o2)]
::> [2794   	:  34	 --> Move(o2,o5)]
::> [2794   	:  35	 --> Push(F,o5,o2)]
::> [2794   	:  36	 --> Move(o2,o1)]
::> [2794   	:  37	 --> Move(o1,o4)]
::> [2794   	:  38	 --> Push(C,o4,o5)]
::> [2794   	:  39	 --> Move(o5,o4)]
::> [2794   	:  40	 --> Move(o4,o7)]
::> [2794   	:  41	 --> Push(D,o7,o4)]
::> [2794   	:  42	 --> Move(o4,o5)]
::> [2794   	:  43	 --> Move(o5,o8)]
::> [2794   	:  44	 --> Push(B,o8,o7)]
::> [2794   	:  45	 --> Move(o7,o4)]
::> [2794   	:  46	 --> Move(o4,o5)]
::> [2795   	:  47	 --> Push(C,o5,o8)]
::> [2795   	:  48	 --> Move(o8,o5)]
::> [2795   	:  49	 --> Move(o5,o4)]
::> [2795   	:  50	 --> Push(D,o4,o5)]
::> [2795   	:  51	 --> Move(o5,o4)]
::> [2795   	:  52	 --> Move(o4,o7)]
::> [2795   	:  53	 --> Push(B,o7,o4)]
::> [2795   	:  54	 --> Move(o4,o5)]
::> [2795   	:  55	 --> Move(o5,o8)]
::> [2795   	:  56	 --> Push(C,o8,o7)]
::> [2795   	:  57	 --> Move(o7,o8)]
::> [2795   	:  58	 --> Move(o8,o9)]
::> [2795   	:  59	 --> Push(G,o9,o8)]
::> [2795   	:  60	 --> Move(o8,o5)]
::> [2795   	:  61	 --> Move(o5,o6)]
::> [2796   	:  62	 --> Push(H,o6,o9)]
::> [2796   	:  63	 --> Move(o9,o6)]
::> [2796   	:  64	 --> Move(o6,o5)]
::> [2796   	:  65	 --> Push(D,o5,o6)]
::> [2796   	:  66	 --> Move(o6,o5)]
::> [2796   	:  67	 --> Move(o5,o4)]
::> [2796   	:  68	 --> Push(B,o4,o5)]
::> [2796   	:  69	 --> Move(o5,o4)]
::> [2796   	:  70	 --> Move(o4,o7)]
::> [2796   	:  71	 --> Push(C,o7,o4)]
::> [2796   	:  72	 --> Move(o4,o5)]
::> [2796   	:  73	 --> Move(o5,o8)]
::> [2797   	:  74	 --> Push(G,o8,o7)]
::> [2797   	:  75	 --> Move(o7,o4)]
::> [2797   	:  76	 --> Move(o4,o5)]
::> [2797   	:  77	 --> Push(B,o5,o8)]
::> [2797   	:  78	 --> Move(o8,o5)]
::> [2797   	:  79	 --> Move(o5,o2)]
::> [2797   	:  80	 --> Push(F,o2,o5)]
::> [2797   	:  81	 --> Move(o5,o2)]
::> [2797   	:  82	 --> Move(o2,o3)]
::> [2797   	:  83	 --> Push(E,o3,o2)]
::> [2797   	:  84	 --> Move(o2,o3)]
::> [2797   	:  85	 --> Move(o3,o6)]
::> [2797   	:  86	 --> Push(D,o6,o3)]
::> [2797   	:  87	 --> Move(o3,o2)]
::> [2797   	:  88	 --> Move(o2,o5)]
::> [2797   	:  89	 --> Push(F,o5,o6)]
::> [2798   	:  90	 --> Move(o6,o3)]
::> [2798   	:  91	 --> Move(o3,o2)]
::> [2798   	:  92	 --> Push(E,o2,o5)]
::> [2798   	:  93	 --> Move(o5,o2)]
::> [2798   	:  94	 --> Move(o2,o3)]
::> [2798   	:  95	 --> Push(D,o3,o2)]
::> [2798   	:  96	 --> Move(o2,o3)]
::> [2798   	:  97	 --> Move(o3,o6)]
::> [2798   	:  98	 --> Push(F,o6,o3)]
::> [2798   	:  99	 --> Move(o3,o6)]
::> [2798   	:  100	 --> Move(o6,o9)]
::> [2798   	:  101	 --> Push(H,o9,o6)]
::> [2798   	:  102	 --> Move(o6,o5)]
::> [2798   	:  103	 --> Move(o5,o8)]
::> [2798   	:  104	 --> Push(B,o8,o9)]
::> [2798   	:  105	 --> Move(o9,o6)]
::> [2798   	:  106	 --> Move(o6,o5)]
::> [2798   	:  107	 --> Push(E,o5,o8)]
::> [2799   	:  108	 --> Move(o8,o5)]
::> [2799   	:  109	 --> Move(o5,o2)]
::> [2799   	:  110	 --> Push(D,o2,o5)]
::> [2799   	:  111	 --> Move(o5,o2)]
::> [2799   	:  112	 --> Move(o2,o1)]
::> [2799   	:  113	 --> Push(A,o1,o2)]
::> [2799   	:  114	 --> Move(o2,o1)]
::> [2799   	:  115	 --> CleanOffice(o1)]
::> [2799   	:  116	 --> Move(o1,o2)]
::> [2799   	:  117	 --> Push(A,o2,o1)]
::> [2799   	:  118	 --> Move(o1,o2)]
::> [2799   	:  119	 --> Move(o2,o5)]
::> [2800   	:  120	 --> Push(D,o5,o2)]
::> [2800   	:  121	 --> Move(o2,o5)]
::> [2800   	:  122	 --> Move(o5,o8)]
::> [2800   	:  123	 --> Push(E,o8,o5)]
::> [2800   	:  124	 --> Move(o5,o6)]
::> [2800   	:  125	 --> Move(o6,o9)]
::> [2800   	:  126	 --> Push(B,o9,o8)]
::> [2800   	:  127	 --> Move(o8,o9)]
::> [2800   	:  128	 --> CleanOffice(o9)]
::> [2800   	:  129	 --> Move(o9,o8)]
::> [2800   	:  130	 --> Push(B,o8,o9)]
::> [2800   	:  131	 --> Move(o9,o8)]
::> [2800   	:  132	 --> CleanOffice(o8)]
::> [2800   	:  133	 --> Move(o8,o7)]
::> [2800   	:  134	 --> Push(G,o7,o8)]
::> [2800   	:  135	 --> Move(o8,o7)]
::> [2800   	:  136	 --> CleanOffice(o7)]
::> [2800   	:  137	 --> Move(o7,o4)]
::> [2800   	:  138	 --> Push(C,o4,o7)]
::> [2801   	:  139	 --> Move(o7,o4)]
::> [2801   	:  140	 --> CleanOffice(o4)]
::> [2801   	:  141	 --> Move(o4,o5)]
::> [2801   	:  142	 --> Push(E,o5,o4)]
